,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,intervals_mean,lumpiness,arch_lm,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature
danish_atm_daily_43,0.2808756418584595,0.0,-16016.188272409972,115.0,0.8289843756801278,7.0,1.0,98.66666666666669,0.002772953029658,0.7935971408482553,0.0295081967213114,0.0173448275862069,0.0,1.0,0.3825770360400813,8.514476844348913e-08,-0.365767812186074,-0.6133343136093232
danish_atm_daily_44,0.6649999999999999,0.019,-241185.09240368367,86.0,0.7979918644713654,9.0,1.0,35.125,0.0107256988789555,0.5341919743522352,0.0786885245901639,0.0257931034482758,0.0,1.0,0.2323070219044085,2.678999567063723e-07,-0.2104373319377784,0.0517364251054663
danish_atm_daily_45,0.4954380347683464,0.0,-51586.07279833399,95.0,0.7562586497503955,6.0,1.0,99.33333333333331,0.0040421455938697,0.6097633373540272,0.0229508196721311,0.0080574712643678,0.0,1.0,0.0494361703723532,1.8844186713591079e-07,0.0318157633350499,0.2765592665208266
danish_atm_daily_46,0.3124008290453482,1.6051757372503806e-05,-26134.771600222608,123.0,0.8362492074164897,8.0,1.0,74.25,0.0041867461331062,0.5358522236223301,0.0262295081967213,0.0075402298850574,0.0,1.0,0.1198551187451523,1.712763873599139e-07,-0.3950507947386343,-0.0639339610220345
danish_atm_daily_47,0.1741435423213495,9.7560596963382e-05,-172456.52977309725,103.0,0.8283954537648132,6.0,1.0,36.625,0.0054093940683979,0.223847987170527,0.0393442622950819,0.0121379310344827,0.0,1.0,0.0604788840662816,2.923178362113128e-07,0.1988108358167964,0.2020412382976655
danish_atm_daily_48,0.3565217908380325,0.0,-66343.97632157887,100.0,0.8353681987431975,9.0,1.0,47.66666666666666,0.0066452391088406,0.5396172703788162,0.0622950819672131,0.0237816091954022,0.0,1.0,0.3568429592996136,1.8636545614312533e-07,-0.3188768555278775,0.681117481424855
danish_atm_daily_49,0.1649278432692835,1.6766524076105597e-05,-98610.82291357024,113.0,0.7941390170324967,28.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
danish_atm_daily_5,0.0660297131662484,0.000838862926479,-79149.97125550747,116.0,0.7913132855808118,8.0,1.0,100.66666666666669,0.0013459628210586,0.1241635614119643,0.0098360655737704,0.0016206896551724,0.0,1.0,0.0128915938917834,9.747812512735909e-08,0.0058683335048862,0.1242210287922422
danish_atm_daily_50,0.0440971149550194,0.021015762148497,-131219.6220542989,93.0,0.7795857182226323,6.0,1.0,59.2,0.0045524336597133,0.2555896287324528,0.0295081967213114,0.007,0.0,1.0,0.0505736484442492,2.3494397901330066e-07,0.1462923303877493,-0.1564533429454394
danish_atm_daily_51,0.5883428572918686,0.017650285718756,-100126.23278436552,105.0,0.7945876483511983,4.0,1.0,75.0,0.0022859372782744,0.1242267967135016,0.0163934426229508,0.0028160919540229,0.0,1.0,0.0291645712498627,1.4878500365627684e-07,0.1191970335877451,-0.1517787866099793
